facility_ID,facility_name,operator_code,operator_name,subtype_code,subtype,license_number,EDCT_code,LDAR,EDCT_description,Licensee_code,operational_status,lat,lon,lat_adj,lon_adj,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABCS0022083,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F22083    ,40,T,Compressor Stn <0.01,A5D4,Active,55.0483894,-119.8907394,55.054994,-119.9979377,3,4,6,120,5,30,120
ABCS0014726,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F14726    ,40,T,Compressor Stn <0.01,0HE9,Active,54.7865753,-119.9414673,54.74153752,-119.9878271,3,4,6,120,5,30,120
ABCS0027648,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F27648    ,40,T,Compressor Stn <0.01,A5D4,Active,55.1922302,-119.9884491,55.25458305,-119.968213,3,4,6,120,5,30,120
ABCS0022125,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F22125    ,40,T,Compressor Stn <0.01,A5D4,Active,55.0952034,-119.8021393,55.3210033,-119.9652466,3,4,6,120,5,30,120
ABCS0032794,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F32794    ,40,T,Compressor Stn <0.01,A5D4,Active,55.0772209,-119.8970261,55.19783796,-119.9580756,3,4,6,120,5,30,120
ABBT0138192,Amoco Et Al Sinclair 6-27-72-13     ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,W 0112320 ,,A,,A5D4,Active,55.2646332,-119.9112167,55.25430965,-119.957155,3,4,6,120,5,30,120
ABCS0035621,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F35621    ,40,T,Compressor Stn <0.01,0HE9,Active,54.6360283,-119.8773346,54.63374626,-119.9531862,3,4,6,120,5,30,120
ABCS0022124,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F22124    ,40,T,Compressor Stn <0.01,A5D4,Active,55.2010345,-119.8824081,55.28900967,-119.9263527,3,4,6,120,5,30,120
ABCS0017751,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F17751    ,40,T,Compressor Stn <0.01,0HE9,Active,57.7421913,-119.995079,57.7390538,-119.9243344,3,4,6,120,5,30,120
ABCS0040744,Conocophillips Canada (brc) Ltd.    ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F40744    ,40,T,Compressor Stn <0.01,A5D4,Active,55.1220016,-119.8913193,55.12200766,-119.9223204,3,4,6,120,5,30,120
ABCS0025387,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F25387    ,40,T,Compressor Stn <0.01,0HE9,Active,57.6617928,-119.8214264,57.5702612,-119.9171628,3,4,6,120,5,30,120
ABCS0014722,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F14722    ,40,T,Compressor Stn <0.01,A5D4,Active,54.8303108,-119.6619492,54.75113049,-119.9164726,3,4,6,120,5,30,120
ABCS0031153,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F31153    ,40,T,Compressor Stn <0.01,A5D4,Active,54.8920898,-119.9165192,55.0300443,-119.9150021,3,4,6,120,5,30,120
ABCS0031558,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F31558    ,40,T,Compressor Stn <0.01,A5D4,Active,55.0156898,-119.8394623,54.94840644,-119.9146242,3,4,6,120,5,30,120
ABCS0033704,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F33704    ,40,T,Compressor Stn <0.01,A5D4,Active,55.0266991,-119.9914474,54.91406754,-119.9122145,3,4,6,120,5,30,120
ABCS0023628,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F23628    ,40,T,Compressor Stn <0.01,0HE9,Active,57.3093147,-119.7495804,57.30496049,-119.909585,3,4,6,120,5,30,120
ABCS0034208,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F34208    ,40,T,Compressor Stn <0.01,A5D4,Active,55.0266991,-119.9905472,55.09737012,-119.909364,3,4,6,120,5,30,120
ABCS0037291,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F37291    ,40,T,Compressor Stn <0.01,A5D4,Active,54.8885155,-119.7382202,55.04400153,-119.9045982,3,4,6,120,5,30,120
ABCS0031811,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F31811    ,40,T,Compressor Stn <0.01,A5D4,Active,54.9864159,-119.718605,54.97622654,-119.8991467,3,4,6,120,5,30,120
ABCS0038568,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F38568    ,40,T,Compressor Stn <0.01,A5D4,Active,55.1226044,-119.9394989,55.03564341,-119.8913782,3,4,6,120,5,30,120
ABCS0028880,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F28880    ,340,A,Compressor Stn <1t/d,0XL9,Active,57.2508507,-119.9999161,57.31010651,-119.8912599,3,4,6,120,5,30,120
ABBT0095890,Elmworth 9-24-72-13                 ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0378014 ,140,A,Single Well 0.00    ,A5D4,Active,55.2524033,-119.8501205,55.33153442,-119.8857666,3,4,6,120,5,30,120
ABBT0097557,Cop 100 Sinclair 3-24-72-13w6       ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0380518 ,140,A,Single Well 0.00    ,A5D4,Active,55.2452393,-119.8651047,55.24859743,-119.8779744,3,4,6,120,5,30,120
ABCS0014811,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F14811    ,40,T,Compressor Stn <0.01,A5D4,Active,54.9031944,-119.8844223,54.87877561,-119.8762841,3,4,6,120,5,30,120
