facility_ID,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABRAND00001,55.05,-119.99,3,4,6,120,5,30,120
ABRAND00002,54.74,-119.98,3,4,6,120,5,30,120
ABRAND00003,55.25,-119.96,3,4,6,120,5,30,120
ABRAND00004,55.32,-119.96,3,4,6,120,5,30,120
ABRAND00005,55.19,-119.95,3,4,6,120,5,30,120
ABRAND00006,55.25,-119.95,1,4,6,120,5,30,120
ABRAND00007,54.63,-119.95,3,4,6,120,5,30,120
ABRAND00008,55.28,-119.92,3,4,6,120,5,30,120
ABRAND00009,57.73,-119.92,3,4,6,120,5,30,120
ABRAND00010,55.12,-119.92,3,4,6,120,5,30,120
ABRAND00011,57.57,-119.91,3,4,6,120,5,30,120
ABRAND00012,54.75,-119.91,3,4,6,120,5,30,120
ABRAND00013,55.03,-119.91,3,4,6,120,5,30,120
ABRAND00014,54.94,-119.91,3,4,6,120,5,30,120
ABRAND00015,54.91,-119.91,3,4,6,120,5,30,120
ABRAND00016,57.3,-119.9,3,4,6,120,5,30,120
ABRAND00017,55.09,-119.9,3,4,6,120,5,30,120
ABRAND00018,55.04,-119.9,3,4,6,120,5,30,120
ABRAND00019,54.97,-119.89,3,4,6,120,5,30,120
ABRAND00020,55.03,-119.89,3,4,6,120,5,30,120
ABRAND00021,57.31,-119.89,1,4,6,120,5,30,120
ABRAND00022,55.33,-119.88,1,4,6,120,5,30,120
ABRAND00023,55.24,-119.87,1,4,6,120,5,30,120
ABRAND00024,54.87,-119.87,3,4,6,120,5,30,120
ABRAND00025,55.21,-119.87,3,4,6,120,5,30,120
ABRAND00026,55.07,-119.86,3,4,6,120,5,30,120
ABRAND00027,55.24,-119.86,1,4,6,120,5,30,120
ABRAND00028,57.69,-119.86,3,4,6,120,5,30,120
ABRAND00029,54.67,-119.85,3,4,6,120,5,30,120
ABRAND00030,54.68,-119.85,3,4,6,120,5,30,120
ABRAND00031,55.29,-119.83,3,4,6,120,5,30,120
ABRAND00032,55.04,-119.83,3,4,6,120,5,30,120
ABRAND00033,57.85,-119.83,3,4,6,120,5,30,120
ABRAND00034,55.27,-119.83,3,4,6,120,5,30,120
ABRAND00035,55.35,-119.82,3,4,6,120,5,30,120
ABRAND00036,54.89,-119.82,3,4,6,120,5,30,120
ABRAND00037,54.95,-119.82,3,4,6,120,5,30,120
ABRAND00038,55.06,-119.82,3,4,6,120,5,30,120
ABRAND00039,55,-119.79,3,4,6,120,5,30,120
ABRAND00040,55.03,-119.79,3,4,6,120,5,30,120
ABRAND00041,55.18,-119.78,3,4,6,120,5,30,120
ABRAND00042,54.86,-119.78,3,4,6,120,5,30,120
ABRAND00043,55.23,-119.77,1,4,6,120,5,30,120
ABRAND00044,55.12,-119.76,3,4,6,120,5,30,120
ABRAND00045,54.81,-119.75,1,4,6,120,5,30,120
ABRAND00046,56.03,-119.71,1,4,6,120,5,30,120
ABRAND00047,55.23,-119.71,1,4,6,120,5,30,120
ABRAND00048,55.26,-119.71,1,4,6,120,5,30,120
ABRAND00049,54.88,-119.71,3,4,6,120,5,30,120
ABRAND00050,55.11,-119.7,1,4,6,120,5,30,120
ABRAND00051,54.83,-119.7,3,4,6,120,5,30,120
ABRAND00052,55.11,-119.69,3,4,6,120,5,30,120
ABRAND00053,54.78,-119.69,3,4,6,120,5,30,120
ABRAND00054,55.13,-119.69,3,4,6,120,5,30,120
ABRAND00055,54.81,-119.68,3,4,6,120,5,30,120
ABRAND00056,54.91,-119.68,3,4,6,120,5,30,120
ABRAND00057,56.03,-119.68,1,4,6,120,5,30,120
ABRAND00058,55.27,-119.67,3,4,6,120,5,30,120
ABRAND00059,55.1,-119.66,3,4,6,120,5,30,120
ABRAND00060,56.12,-119.65,1,4,6,120,5,30,120
ABRAND00061,55.06,-119.64,3,4,6,120,5,30,120
ABRAND00062,55.13,-119.64,3,4,6,120,5,30,120
ABRAND00063,54.79,-119.63,3,4,6,120,5,30,120
ABRAND00064,54.71,-119.63,3,4,6,120,5,30,120
ABRAND00065,55.03,-119.62,1,4,6,120,5,30,120
