facility_ID,facility_name,operator_code,operator,lat,lon,required_surveys_aircraft,required_surveys_OGI,required_surveys_M21,OGI_time,M21_time,aircraft_time,OGI_FU_time
ABBT0030001,Morgan Abee Group #2                ,A68P,Canlin Resources Partnership              ,54.3140984,-113.2539978,5,0,0,120,240,10,120
ABBT0040045,Pci Brazeau River Condensate 4-31   ,A74Y,Tidewater Midstream and Infrastructure Ltd.,53.1795998,-115.7539978,5,0,0,120,240,10,120
ABBT0040062,Niton 08-23-055-11w5 Oswb           ,A5YK,Velvet Energy Ltd.                        ,53.7649002,-115.5159988,5,0,0,120,240,10,120
ABBT0040075,Amax Sinclair 16-18                 ,A6YC,Shield Energy Ltd.                        ,55.3288002,-119.8239975,5,0,0,120,240,10,120
ABBT0040115,Mobil Niton 6-19                    ,A2TG,TAQA North Ltd.                           ,53.6773987,-115.6139984,5,0,0,120,240,10,120
ABBT0040141,Cnw Swan Hills 16-27                ,A2J6,Crescent Point Energy Corp.               ,54.8377991,-115.5810013,5,0,0,120,240,10,120
ABBT0040147,Reber Valhalla 16-09                ,0ME3,Reber Exploration Ltd.                    ,55.4886017,-119.3219986,5,0,0,120,240,10,120
ABBT0040161,Brec Svstar Cygnet 14-23            ,A0L1,Vesta Energy Ltd.                         ,52.3745995,-113.9300003,5,0,0,120,240,10,120
ABBT0040185,Fairborne Brazeau River 6-27        ,A73X,Boulder Energy Ltd.                       ,53.081501,-115.9670029,5,0,0,120,240,10,120
ABBT0040188,Pci Gilby 04-34                     ,A68P,Canlin Resources Partnership              ,52.5686989,-114.5019989,5,0,0,120,240,10,120
ABBT0040195,Phillips Salter 4-36                ,A68P,Canlin Resources Partnership              ,51.2579994,-114.9990005,5,0,0,120,240,10,120
ABBT0040208,Cnd 88 Energy Cygnet 4-34           ,A6L2,Canadian Oil & Gas International Inc.     ,52.2182999,-113.9300003,5,0,0,120,240,10,120
ABBT0040217,Pedco Pembina 10-27                 ,0BP8,Obsidian Energy Ltd.                      ,52.9986992,-115.0739975,5,0,0,120,240,10,120
ABBT0040218,Pedco Pembina 2-27                  ,0BP8,Obsidian Energy Ltd.                      ,52.9915009,-115.0739975,5,0,0,120,240,10,120
ABBT0040222,Poco Threehick 8-32                 ,A7PA,Vantage Point Resources Inc.              ,52.0429993,-113.6740036,5,0,0,120,240,10,120
ABBT0040237,Imperial Northville Slugcatcher 6-3 ,A5RA,Clearview Resources Ltd.                  ,53.3722,-115.3929977,5,0,0,120,240,10,120
ABBT0040248,Halvar Wainwright 16-13             ,0HE4,Unit 18 Corp.                             ,52.8852005,-110.7330017,5,0,0,120,240,10,120
ABBT0040272,Brec Joffre 8-7                     ,A0L1,Vesta Energy Ltd.                         ,52.4249001,-113.8710022,5,0,0,120,240,10,120
ABBT0040290,Wincan Willgr 6-23                  ,0ZK3,Hard Rock Resources Ltd.                  ,52.4557991,-114.9039993,5,0,0,120,240,10,120
ABBT0040292,G.a. Oils Alderson 8-27-26-11       ,A7JT,Regnum Energy Ltd.                        ,50.3736,-111.4280014,5,0,0,120,240,10,120
