facility_ID,subtype_code,lat,lon,equipment_groups,,,,,
S-000279,1,39.96893492,-80.11816943,1,,,,,
S-001569,1,40.00810556,-80.07448056,1,,,,,
S-000485,1,39.94243241,-80.13073789,1,,,,,
S-000345,1,39.85269749,-80.34122472,1,,,,,
S-000476,1,39.97380198,-80.07785359,1,,,,,
S-000374,1,39.8283139,-80.32347779,1,,,,,
S-000288,1,40.0308788,-80.15244748,1,,,,,
S-000026,1,40.14840222,-80.021665,1,,,,,
S-001563,1,40.0200544,-80.16603083,1,,,,,
S-000484,1,39.92397491,-80.09410604,1,,,,,
S-001714,1,39.93675833,-80.156225,1,,,,,
S-000478,1,39.93929978,-80.04692154,1,,,,,
S-001564,1,40.05065211,-80.09903638,1,,,,,
S-001573,1,40.046425,-80.10085278,1,,,,,
S-000349,1,39.85790781,-80.45038363,1,,,,,
S-000032,1,40.11668887,-80.07448333,1,,,,,
S-000490,1,39.99514326,-80.22198872,1,,,,,
S-000469,1,40.11636626,-80.14963795,1,,,,,
S-000044,1,40.11210194,-80.10043917,1,,,,,
S-000282,1,39.95329633,-80.09294694,1,,,,,
S-001713,1,39.90328262,-80.20140749,1,,,,,
S-001525,1,39.91115,-79.990139,1,,,,,
S-001640,1,39.83009167,-80.00776111,1,,,,,
S-001616,1,39.84821944,-79.97099444,1,,,,,
S-000036,1,40.0630136,-79.98909637,1,,,,,
S-000046,1,40.09739971,-80.09967195,1,,,,,
S-000334,1,39.88640405,-80.33574088,1,,,,,
S-000472,1,40.07305136,-80.19801523,1,,,,,
S-000479,1,39.94408019,-80.06594027,1,,,,,
S-001711,1,39.90981389,-80.26031944,1,,,,,
S-000482,1,40.00625607,-80.15555583,1,,,,,
S-001641,1,39.80244994,-80.046925,1,,,,,
S-000292,1,39.94519594,-80.2397553,1,,,,,
S-001061,1,39.944472,-79.972178,1,,,,,
S-000331,1,39.86360628,-80.2085962,1,,,,,
S-000328,1,39.90392501,-80.1700432,1,,,,,
S-000471,1,40.07751667,-80.18404167,1,,,,,
S-000373,1,39.8076925,-80.30121668,1,,,,,
S-000392,1,39.80646472,-80.23041894,1,,,,,
S-000342,1,39.9033711,-80.41092612,1,,,,,
S-000348,1,39.86933901,-80.4275,1,,,,,
S-001574,1,40.04365,-80.12133611,1,,,,,
S-001629,1,39.74272142,-79.98923163,1,,,,,
S-000426,1,39.78739591,-80.50945503,1,,,,,
S-000303,1,40.00854337,-80.39312743,1,,,,,
S-001571,1,40.03808333,-80.05098056,1,,,,,
S-000296,1,39.95324103,-80.27662012,1,,,,,
S-000047,1,40.09764998,-80.13101524,1,,,,,
S-000432,1,39.7390111,-80.50316648,1,,,,,
S-000051,1,40.02149531,-80.10224518,1,,,,,
S-000491,1,40.01066979,-80.21718032,1,,,,,
S-001633,1,39.77248951,-80.00622747,1,,,,,
S-001624,1,39.76924198,-80.00529157,1,,,,,
S-000422,1,39.8136199,-80.47729953,1,,,,,
S-000419,1,39.83350908,-80.47545842,1,,,,,
S-000031,1,40.12459499,-80.09205445,1,,,,,
S-000290,1,39.99062529,-80.17777724,1,,,,,
S-000043,1,40.09658557,-80.0573125,1,,,,,
S-000420,1,39.82790571,-80.47809996,1,,,,,
S-000341,1,39.92029194,-80.38023083,1,,,,,
S-000326,1,39.90220501,-80.13919402,1,,,,,
S-000333,1,39.89704692,-80.31769044,1,,,,,
S-001712,1,39.92195,-80.21818611,1,,,,,
S-000020,1,40.19041388,-80.16386583,1,,,,,
S-000320,1,39.95601385,-80.20478611,1,,,,,
S-001566,1,40.055533,-80.134492,1,,,,,
S-000014,1,40.22899532,-80.03183033,1,,,,,
S-000294,1,39.94144595,-80.26451755,1,,,,,
S-000050,1,39.9319796,-80.25631789,1,,,,,
S-000493,1,39.95355996,-80.18979194,1,,,,,
S-001614,1,39.867689,-79.962822,1,,,,,
S-000286,1,39.94763834,-80.12067829,1,,,,,
S-000371,1,40.17862916,-79.97605105,1,,,,,
S-001523,1,39.91377,-79.952347,1,,,,,
S-000492,1,40.00669216,-80.2445345,1,,,,,
S-000418,1,39.84105054,-80.46865777,1,,,,,
S-000487,1,40.02286804,-80.19720413,1,,,,,
S-000277,1,39.97839582,-80.0940871,1,,,,,
S-000163,1,40.08815559,-79.97413408,1,,,,,
S-000335,1,39.85813405,-80.24863693,1,,,,,
