facility_ID,subtype_code,lat,lon,equipment_groups
0,1,-104.4115901,31.8459486,1
1,1,-101.9088721,31.55667914,1
2,1,-101.6634249,32.69862605,1
3,1,-103.4288501,30.84224276,1
4,1,-104.2061601,32.3781544,1
5,1,-101.943443,32.72930072,1
6,1,-104.1467935,31.90830713,1
7,1,-103.1233894,33.03899408,1
8,1,-101.7294949,31.62356079,1
9,1,-103.9557447,31.94958838,1
10,1,-101.8295263,32.78237415,1
11,1,-103.5986699,32.50456829,1
12,1,-102.1820068,31.82348072,1
13,1,-101.8235711,31.59220004,1
14,1,-103.4315518,31.82996564,1
15,1,-104.4546677,32.20299797,1
16,1,-103.6497893,33.46672887,1
17,1,-103.2513406,31.56885304,1
18,1,-101.2081918,31.12968666,1
19,1,-103.9762198,31.94121364,1
20,1,-103.8572639,32.45529726,1
21,1,-103.5033101,33.14443909,1
22,1,-101.7381135,31.77665998,1
23,1,-102.2385657,32.48057869,1
24,1,-104.0084222,31.74756282,1
25,1,-103.1146588,32.72633034,1
26,1,-101.4582945,32.85323321,1
27,1,-101.61543,32.58883043,1
28,1,-104.4843312,32.15859562,1
29,1,-103.5553883,32.9635189,1
30,1,-101.9039209,32.6699234,1
31,1,-103.8517113,32.73847915,1
32,1,-101.9490743,32.81660272,1
33,1,-103.1033479,31.56578536,1
34,1,-103.4221216,32.89486749,1
35,1,-104.3299718,32.62601236,1
36,1,-101.9228823,32.83384595,1
37,1,-102.9900896,31.30124836,1
38,1,-103.4315873,33.03454157,1
39,1,-101.9832246,31.42220903,1
40,1,-103.3472571,33.38549994,1
41,1,-101.8472004,32.26434057,1
42,1,-103.9853645,32.33999104,1
43,1,-101.284622,33.01987582,1
44,1,-101.8904881,32.12897706,1
45,1,-102.1815499,31.87392435,1
46,1,-104.4226404,32.24089401,1
47,1,-104.1525055,31.78655017,1
48,1,-102.9571013,31.43065445,1
49,1,-104.0149071,31.92465794,1
50,1,-101.3342897,31.55696869,1
51,1,-102.9311812,31.20104255,1
52,1,-103.5808812,32.06439739,1
53,1,-103.8441709,32.08095423,1
54,1,-102.9642651,31.2511559,1
55,1,-103.6067632,31.2485456,1
56,1,-103.4023071,32.60445577,1
57,1,-104.5364414,32.69656477,1
58,1,-104.1719996,31.56944225,1
59,1,-103.6288745,31.21116001,1
60,1,-102.0368669,32.78972509,1
