facility_ID,subtype_code,lat,lon,OGI_RS,truck_RS,aircraft_RS,OGI_time,aircraft_time,truck_time,OGI_FU_time,fixed_sensors
ABRAND00001,601,55.05,-119.99,1,4,2,120,5,30,120,1
ABRAND00002,601,54.74,-119.98,1,4,2,120,5,30,120,1
ABRAND00003,601,55.25,-119.96,1,4,2,120,5,30,120,1
ABRAND00004,601,55.32,-119.96,1,4,2,120,5,30,120,1
ABRAND00005,601,55.19,-119.95,1,4,2,120,5,30,120,1
ABRAND00006,351,55.25,-119.95,1,4,2,120,5,30,120,1
ABRAND00007,601,54.63,-119.95,1,4,2,120,5,30,120,1
ABRAND00008,601,55.28,-119.92,1,4,2,120,5,30,120,1
ABRAND00009,601,57.73,-119.92,1,4,2,120,5,30,120,1
ABRAND00010,601,55.12,-119.92,1,4,2,120,5,30,120,1
ABRAND00011,601,57.57,-119.91,1,4,2,120,5,30,120,1
ABRAND00012,601,54.75,-119.91,1,4,2,120,5,30,120,1
ABRAND00013,601,55.03,-119.91,1,4,2,120,5,30,120,1
ABRAND00014,601,54.94,-119.91,1,4,2,120,5,30,120,1
ABRAND00015,601,54.91,-119.91,1,4,2,120,5,30,120,1
ABRAND00016,601,57.3,-119.9,1,4,2,120,5,30,120,1
ABRAND00017,601,55.09,-119.9,1,4,2,120,5,30,120,1
ABRAND00018,601,55.04,-119.9,1,4,2,120,5,30,120,1
ABRAND00019,601,54.97,-119.89,1,4,2,120,5,30,120,1
ABRAND00020,601,55.03,-119.89,1,4,2,120,5,30,120,1
ABRAND00021,601,57.31,-119.89,1,4,2,120,5,30,120,1
ABRAND00022,311,55.33,-119.88,1,4,2,120,5,30,120,1
ABRAND00023,311,55.24,-119.87,1,4,2,120,5,30,120,1
ABRAND00024,601,54.87,-119.87,1,4,2,120,5,30,120,1
ABRAND00025,601,55.21,-119.87,1,4,2,120,5,30,120,1
ABRAND00026,601,55.07,-119.86,1,4,2,120,5,30,120,1
ABRAND00027,351,55.24,-119.86,1,4,2,120,5,30,120,1
ABRAND00028,601,57.69,-119.86,1,4,2,120,5,30,120,1
ABRAND00029,601,54.67,-119.85,1,4,2,120,5,30,120,1
ABRAND00030,601,54.68,-119.85,1,4,2,120,5,30,120,1
ABRAND00031,601,55.29,-119.83,1,4,2,120,5,30,120,1
ABRAND00032,601,55.04,-119.83,1,4,2,120,5,30,120,1
ABRAND00033,601,57.85,-119.83,1,4,2,120,5,30,120,1
ABRAND00034,601,55.27,-119.83,1,4,2,120,5,30,120,1
ABRAND00035,601,55.35,-119.82,1,4,2,120,5,30,120,1
ABRAND00036,601,54.89,-119.82,1,4,2,120,5,30,120,1
ABRAND00037,601,54.95,-119.82,1,4,2,120,5,30,120,1
ABRAND00038,601,55.06,-119.82,1,4,2,120,5,30,120,1
ABRAND00039,601,55,-119.79,1,4,2,120,5,30,120,1
ABRAND00040,601,55.03,-119.79,1,4,2,120,5,30,120,1
ABRAND00041,601,55.18,-119.78,1,4,2,120,5,30,120,1
ABRAND00042,601,54.86,-119.78,1,4,2,120,5,30,120,1
ABRAND00043,501,55.23,-119.77,1,4,2,120,5,30,120,1
ABRAND00044,601,55.12,-119.76,1,4,2,120,5,30,120,1
ABRAND00045,351,54.81,-119.75,1,4,2,120,5,30,120,1
ABRAND00046,601,56.03,-119.71,1,4,2,120,5,30,120,1
ABRAND00047,351,55.23,-119.71,1,4,2,120,5,30,120,1
ABRAND00048,311,55.26,-119.71,1,4,2,120,5,30,120,1
ABRAND00049,621,54.88,-119.71,1,4,2,120,5,30,120,1
ABRAND00050,351,55.11,-119.7,1,4,2,120,5,30,120,1
ABRAND00051,601,54.83,-119.7,1,4,2,120,5,30,120,1
ABRAND00052,601,55.11,-119.69,1,4,2,120,5,30,120,1
ABRAND00053,601,54.78,-119.69,1,4,2,120,5,30,120,1
ABRAND00054,601,55.13,-119.69,1,4,2,120,5,30,120,1
ABRAND00055,601,54.81,-119.68,1,4,2,120,5,30,120,1
