GEONAME,GEOCODE,lon,lat
TOWN OF ATHABASCA,11,-113.2794338,54.71767796
TOWN OF BARRHEAD,14,-114.4050193,54.12615278
TOWN OF BASHAW,16,-112.9684013,52.58622603
TOWN OF BASSANO,17,-112.4686903,50.7881432
CITY OF BEAUMONT,19,-113.424731,53.35562387
TOWN OF BEAVERLODGE,21,-119.4242557,55.20946349
TOWN OF BENTLEY,24,-114.0476437,52.46791411
TOWN OF BLACK DIAMOND,30,-114.2305999,50.68258022
TOWN OF BLACKFALDS,31,-113.7837544,52.38663307
TOWN OF BON ACCORD,34,-113.415138,53.84027506
TOWN OF BONNYVILLE,35,-110.7463913,54.26623277
TOWN OF BOW ISLAND,39,-111.370307,49.87367464
TOWN OF BOWDEN,40,-114.0303226,51.9295481
CITY OF BROOKS,43,-111.8927974,50.5647243
TOWN OF BRUDERHEIM,44,-112.9315816,53.80087013
TOWN OF CALMAR,47,-113.8070854,53.26374083
TOWN OF CARDSTON,52,-113.3102825,49.19244743
TOWN OF CANMORE,50,-115.3258873,51.06402907
TOWN OF CARSTAIRS,56,-114.0951995,51.5605397
TOWN OF CASTOR,58,-111.9078546,52.21788285
CITY OF CHESTERMERE,356,-113.8243295,51.03328359
TOWN OF CLARESHOLM,65,-113.5826997,50.02324549
TOWN OF COALDALE,69,-112.6265859,49.72418169
TOWN OF COALHURST,360,-112.9265768,49.74409485
TOWN OF COCHRANE,70,-114.4698974,51.18593389
TOWN OF CORONATION,75,-111.4443562,52.0926276
TOWN OF CROSSFIELD,79,-114.0348971,51.42614146
TOWN OF DAYSLAND,82,-112.2634822,52.86750056
TOWN OF DEVON,86,-113.7259528,53.3527639
TOWN OF DIDSBURY,88,-114.1381341,51.65918239
TOWN OF DRAYTON VALLEY,91,-114.9781599,53.21693784
TOWN OF DRUMHELLER,532,-112.6332275,51.41438516
TOWN OF ECKVILLE,95,-114.3700777,52.36205362
TOWN OF EDSON,100,-116.4480249,53.58366215
TOWN OF ELK POINT,101,-110.9022059,53.90035357
TOWN OF FAIRVIEW,106,-118.3806325,56.07116967
TOWN OF FALHER,108,-117.1981231,55.7335208
TOWN OF FOX CREEK,119,-116.7988838,54.4039618
TOWN OF FORT MACLEOD,115,-113.4002593,49.72045429
TOWN OF GIBBONS,124,-113.3272644,53.82128043
TOWN OF GRIMSHAW,137,-117.6098694,56.19106927
TOWN OF HANNA,141,-111.9266616,51.64294955
TOWN OF HARDISTY,143,-111.3149001,52.67061738
