leak_ID,facility_ID,rate,status,tagged,days_active,component,date_began,date_found,date_repaired,repair_delay,found_by_company,found_by_crew,requires_shutdown,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00262_0000006404,ABRAND00262,868.6099584,active,True,83,unknown,2016-03-31 07:24:00,2016-06-06 12:50:00,,,OGI_FU,1.0,False,0.0,868.6099584,0.09468692162714541
ABRAND00738_0000006429,ABRAND00738,868.6099584,active,False,75,unknown,2016-04-08 07:24:00,,,,,,False,0.0003621876131836291,1737.2199168,0.18937384325429082
ABRAND00402_0000006253,ABRAND00402,127.76991356160002,active,True,129,unknown,2016-02-14 07:24:00,2016-06-06 07:24:00,,,OGI_FU,1.0,False,0.0007243752263672582,1864.9898303616,0.20330200476650678
ABRAND00026_0000006310,ABRAND00026,115.79266560960002,active,False,113,unknown,2016-03-01 07:24:00,,,,,,False,0.0010865628395508873,1980.7824959712002,0.21592452992586658
ABRAND00063_0000006293,ABRAND00063,115.79266560960002,active,True,118,unknown,2016-02-25 07:24:00,2016-06-11 13:33:00,,,OGI_FU,1.0,False,0.0014487504527345165,2096.5751615808003,0.22854705508522638
ABRAND00377_0000006441,ABRAND00377,115.79266560960002,active,True,71,unknown,2016-04-12 07:24:00,2016-06-09 11:37:00,,,OGI_FU,1.0,False,0.0018109380659181457,2212.3678271904005,0.24116958024458615
ABRAND00842_0000006615,ABRAND00842,62.3710463904,active,False,9,unknown,2016-06-13 17:04:00,,,,,,False,0.0021731256791017745,2274.7388735808004,0.24796863006465653
ABRAND00121_0000006443,ABRAND00121,62.3710463904,active,False,71,unknown,2016-04-12 07:24:00,,,,,,False,0.0025353132922854038,2337.1099199712003,0.25476767988472687
ABRAND00093_0000006531,ABRAND00093,58.461686409600006,active,False,42,unknown,2016-05-11 07:24:00,,,,,,False,0.002897500905469033,2395.5716063808004,0.2611405714981885
ABRAND00617_0000006250,ABRAND00617,58.461686409600006,active,False,131,unknown,2016-02-12 07:24:00,,,,,,False,0.0032596885186526622,2454.0332927904005,0.26751346311165003
