facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,aircraft_t_since_last_LDAR,aircraft_surveys_conducted,attempted_today_aircraft?,surveys_done_this_year_aircraft,aircraft_missed_leaks,OGI_FU_t_since_last_LDAR,attempted_today_OGI_FU?,OGI_FU_surveys_conducted,OGI_FU_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND00773,311,51.94,-114.6,1,4,2,120,5,30,120,40439.796368111995,9,15,False,aircraft,2014-07-02 17:10:00,16,11,173,10,False,1,28,719,False,2,0,1,0.0,0.017152856473155453
ABRAND00782,351,51.89,-114.56,1,4,2,120,5,30,120,19165.024822924795,6,3,False,aircraft,2013-07-02 17:14:00,16,11,173,10,False,1,21,1083,False,1,0,0,0.002004008016032064,0.03379853925560955
ABRAND00982,351,52.7,-114.04,1,4,2,120,5,30,120,21053.7543771072,1,6,False,aircraft,2015-01-02 17:13:00,15,12,173,10,False,1,24,535,False,1,0,0,0.004008016032064128,0.04812220590945949
ABRAND00519,361,52.59,-115.64,1,4,2,120,5,30,120,31175.473977590398,0,11,False,aircraft,2016-01-02 17:10:00,15,9,173,10,False,1,23,170,False,2,0,0,0.006012024048096192,0.061595630526826345
ABRAND00616,361,52.97,-115.27,1,4,2,120,5,30,120,34024.7581870176,17,0,False,,,14,9,173,10,False,1,78,2000,False,0,0,1,0.008016032064128256,0.07471790865992355
ABRAND00121,601,55.44,-119.3,1,4,2,120,5,30,120,19082.1085487712,10,0,False,,,9,1,173,10,False,1,45,2000,False,0,0,0,0.01002004008016032,0.08711647797634683
ABRAND00062,601,55.13,-119.64,1,4,2,120,5,30,120,14211.796889174402,0,10,False,aircraft,2016-01-02 17:10:00,10,1,173,10,False,1,30,170,False,1,0,0,0.012024048096192385,0.0993646920749296
ABRAND00384,311,53.28,-116.03,1,4,2,120,5,30,120,52360.1876467584,1,12,False,aircraft,2016-01-02 17:10:00,13,8,173,10,False,1,21,167,False,2,0,0,0.014028056112224449,0.11131544054776622
ABRAND00669,361,53.17,-115.1,1,4,2,120,5,30,120,24347.272434537605,2,13,False,aircraft,2016-01-02 17:10:00,14,10,173,10,False,1,33,166,False,2,0,0,0.01603206412825651,0.12309424562301866
ABRAND00240,621,54.2,-118.42,1,4,2,120,5,30,120,9663.7452136704,9,0,False,,,12,3,173,10,False,1,47,2000,False,0,0,0,0.018036072144288578,0.1344292013069178
ABRAND00229,351,54.41,-118.63,1,4,2,120,5,30,120,53084.7664749504,3,8,False,aircraft,2015-07-01 17:14:00,11,3,173,10,False,1,13,355,False,2,1,0,0.02004008016032064,0.14575775691430137
ABRAND01003,361,52.9,-113.91,1,4,2,120,5,30,120,25309.648583049595,3,6,False,aircraft,2013-07-01 23:44:00,14,12,173,10,False,1,29,1084,False,1,1,0,0.022044088176352707,0.15700063988425864
