facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,truck_t_since_last_LDAR,truck_surveys_conducted,attempted_today_truck?,surveys_done_this_year_truck,truck_missed_leaks,OGI_FU_t_since_last_LDAR,attempted_today_OGI_FU?,OGI_FU_surveys_conducted,OGI_FU_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND00719,621,52.52,-114.86,1,4,2,120,5,30,120,3449.885616288001,2,12,False,truck,2015-09-29 23:44:00,15,10,83,21,False,2,0,265,False,5,0,0,0.0,0.02994941218352729
ABRAND00845,331,55.47,-114.37,1,4,2,120,5,30,120,5611.6242421056,2,16,False,truck,2016-04-01 18:05:00,9,11,83,21,False,2,3,80,False,8,4,0,0.002004008016032064,0.05596799400141852
ABRAND00517,351,54.11,-115.64,1,4,2,120,5,30,120,2871.6973041024,2,9,False,truck,2016-01-02 17:57:00,12,9,83,21,False,2,6,170,False,5,3,0,0.004008016032064128,0.08196142618607602
ABRAND00990,351,52.97,-114.01,1,4,2,120,5,30,120,2385.3024698400004,2,5,False,truck,2015-07-01 17:01:00,14,12,83,21,False,2,0,355,False,3,0,0,0.006012024048096192,0.10615620258435032
ABRAND00356,601,53.25,-116.12,1,4,2,120,5,30,120,2503.0265964768,0,14,False,truck,2016-01-02 17:57:00,13,8,83,21,False,2,0,170,False,8,0,0,0.008016032064128256,0.13031444125569241
ABRAND00544,601,53.84,-115.57,1,4,2,120,5,30,120,3495.8665603872005,1,11,False,truck,2016-04-01 18:05:00,12,9,83,21,False,2,0,80,False,5,0,0,0.01002004008016032,0.1521018083900572
ABRAND00127,601,55.09,-119.29,1,4,2,120,5,30,120,14403.625360531203,0,17,False,truck,2016-04-01 18:05:00,10,1,83,21,False,2,0,80,False,10,0,0,0.012024048096192385,0.17258781532959877
ABRAND00794,361,52.64,-114.52,1,4,2,120,5,30,120,5943.041725824001,2,9,False,truck,2016-01-02 17:57:00,15,11,83,21,False,2,0,170,False,7,0,0,0.014028056112224449,0.19269857105193824
ABRAND00728,351,53.31,-114.81,1,4,2,120,5,30,120,4349.0951437536005,1,16,False,truck,2016-04-01 18:00:00,13,10,83,21,False,2,0,80,False,8,0,0,0.01603206412825651,0.2125468245452775
ABRAND00714,601,52.98,-114.89,1,4,2,120,5,30,120,5378.024940710398,2,13,False,truck,2016-04-01 18:00:00,14,10,83,21,False,2,0,80,False,8,0,1,0.018036072144288578,0.2322403031129522
ABRAND00362,361,53.89,-116.1,1,4,2,120,5,30,120,1610.6425888319995,2,11,False,truck,2015-04-02 17:17:00,12,8,83,21,False,2,0,445,False,7,1,0,0.02004008016032064,0.25140009919593226
