facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,OGI_t_since_last_LDAR,OGI_surveys_conducted,attempted_today_OGI?,surveys_done_this_year_OGI,OGI_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND01031,601,50.43,-113.26,1,4,2,120,5,30,120,15614.8619545152,2,14,False,,,19,13,162,6,False,1,0,1,0.0,0.034835570752841105
ABRAND01061,601,50.17,-112.78,1,4,2,120,5,30,120,12403.127660342401,1,9,False,,,20,14,162,6,False,1,1,0,0.002004008016032064,0.06669951022566083
ABRAND01019,601,50.42,-113.61,1,4,2,120,5,30,120,893.0318789088,2,8,False,,,19,13,162,6,False,1,0,0,0.004008016032064128,0.09782682828799727
ABRAND00690,621,52.55,-115.03,1,4,2,120,5,30,120,5961.272232182401,1,11,False,,,15,10,161,6,False,1,0,0,0.006012024048096192,0.12756486044014492
ABRAND00642,601,52.45,-115.18,1,4,2,120,5,30,120,2820.5869169376,1,7,False,,,15,10,161,6,False,1,1,0,0.008016032064128256,0.15603044840221103
ABRAND00670,351,52.7,-115.09,1,4,2,120,5,30,120,27933.365279404807,2,13,False,,,15,10,161,6,False,1,0,0,0.01002004008016032,0.1819116084315979
ABRAND00159,601,54.79,-119.06,1,4,2,120,5,30,120,9728.7972581952,1,15,False,,,10,2,161,6,False,1,0,0,0.012024048096192385,0.20557447815002688
ABRAND00242,401,54.28,-118.32,1,4,2,120,5,30,120,8166.409095801601,2,15,False,,,11,3,161,6,False,1,1,0,0.014028056112224449,0.22734650113921376
ABRAND00112,601,55.11,-119.38,1,4,2,120,5,30,120,16145.374995619199,0,15,False,,,10,1,161,6,False,1,0,0,0.01603206412825651,0.24892491583524973
ABRAND00230,322,54.62,-118.59,1,4,2,120,5,30,120,7437.0461943744,1,9,False,,,11,3,161,6,False,1,0,0,0.018036072144288578,0.2679437088415922
ABRAND00236,351,54.39,-118.53,1,4,2,120,5,30,120,4125.1601175552005,0,11,False,,,11,3,161,6,False,1,0,0,0.02004008016032064,0.28667817594250844
ABRAND00058,601,55.27,-119.67,1,4,2,120,5,30,120,16192.770185980802,4,10,False,,,9,1,158,6,False,1,1,0,0.022044088176352707,0.3049834673741165
ABRAND00121,601,55.44,-119.3,1,4,2,120,5,30,120,8765.3659320576,0,12,False,,,9,1,158,6,False,1,0,0,0.02404809619238477,0.32015844393853005
ABRAND00140,601,55.3,-119.19,1,4,2,120,5,30,120,14806.5575278176,1,17,False,,,9,2,158,6,False,1,1,0,0.026052104208416832,0.3352504467015619
ABRAND00170,601,55.34,-118.96,1,4,2,120,5,30,120,24875.386564608005,2,10,False,,,9,2,158,6,False,1,0,0,0.028056112224448898,0.34950529778358413
ABRAND00135,601,55.29,-119.24,1,4,2,120,5,30,120,5516.821827072001,2,9,False,,,9,2,158,6,False,1,0,0,0.03006012024048096,0.36339396256326784
ABRAND00175,601,55.34,-118.94,1,4,2,120,5,30,120,25978.101033974403,1,12,False,,,9,2,158,6,False,1,0,0,0.03206412825651302,0.37508627923186555
ABRAND00022,311,55.33,-119.88,1,4,2,120,5,30,120,8457.6537247392,2,22,False,,,9,0,158,6,False,1,0,10,0.03406813627254509,0.38620032795072506
ABRAND00034,601,55.27,-119.83,1,4,2,120,5,30,120,8628.4266469056,2,8,False,,,9,0,158,6,False,1,0,0,0.036072144288577156,0.3950777264122242
ABRAND00118,311,55.33,-119.33,1,4,2,120,5,30,120,4224.4097498496,1,11,False,,,9,1,158,6,False,1,2,0,0.03807615230460922,0.40338430255742236
ABRAND00117,311,55.4,-119.34,1,4,2,120,5,30,120,7192.531614988801,0,15,False,,,9,1,158,6,False,1,0,1,0.04008016032064128,0.4105822081271156
ABRAND00553,601,53.54,-115.54,1,4,2,120,5,30,120,10380.412795276801,0,11,False,,,13,9,129,6,False,1,0,0,0.04208416833667335,0.4165214392644812
ABRAND00853,351,52.37,-114.35,1,4,2,120,5,30,120,5738.469663744001,2,11,False,,,15,11,129,6,False,1,1,0,0.04408817635270541,0.4224293012958673
ABRAND00771,311,52.25,-114.6,1,4,2,120,5,30,120,13660.644192883197,0,12,False,,,15,11,129,6,False,1,0,0,0.04609218436873747,0.4281540417035323
ABRAND00822,311,52.48,-114.44,1,4,2,120,5,30,120,8575.745698080002,1,11,False,,,15,11,129,6,False,1,0,1,0.04809619238476954,0.43386472676429283
